date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-01-01 00:00:00,7,2,0.0,3.4,3,37,12:26 PM,11:53 PM,08:29 AM,05:46 PM,2,1,4,1,16,15,71,0.0,1023,2,10,271,12,Istanbul
2020-01-01 01:00:00,7,2,0.0,3.4,3,37,12:26 PM,11:53 PM,08:29 AM,05:46 PM,1,2,5,2,17,25,68,0.0,1023,3,10,283,12,Istanbul
2020-01-01 02:00:00,7,2,0.0,3.4,3,37,12:26 PM,11:53 PM,08:29 AM,05:46 PM,0,3,5,3,17,36,65,0.0,1022,5,10,294,12,Istanbul
2020-01-01 03:00:00,7,2,0.0,3.4,3,37,12:26 PM,11:53 PM,08:29 AM,05:46 PM,-1,4,6,4,18,46,63,0.0,1022,6,10,306,13,Istanbul
2020-01-01 04:00:00,7,2,0.0,3.4,3,37,12:26 PM,11:53 PM,08:29 AM,05:46 PM,-1,4,6,4,15,64,64,0.0,1022,6,10,322,11,Istanbul
2020-01-01 05:00:00,7,2,0.0,3.4,3,37,12:26 PM,11:53 PM,08:29 AM,05:46 PM,-1,4,6,4,13,82,64,0.1,1022,6,10,337,9,Istanbul
2020-01-01 06:00:00,7,2,0.0,3.4,3,37,12:26 PM,11:53 PM,08:29 AM,05:46 PM,-1,4,5,4,10,100,65,0.2,1022,5,10,353,8,Istanbul
2020-01-01 07:00:00,7,2,0.0,3.4,3,37,12:26 PM,11:53 PM,08:29 AM,05:46 PM,0,4,5,4,11,100,71,0.1,1023,5,9,318,8,Istanbul
2020-01-01 08:00:00,7,2,0.0,3.4,3,37,12:26 PM,11:53 PM,08:29 AM,05:46 PM,2,4,5,4,11,100,77,0.4,1023,5,9,283,9,Istanbul
2020-01-01 09:00:00,7,2,0.0,3.4,3,37,12:26 PM,11:53 PM,08:29 AM,05:46 PM,3,4,6,4,12,100,83,0.5,1024,6,9,248,9,Istanbul
