,date_time,longitude,latitude,geohash,minimum_speed,maximum_speed,average_speed,number_of_vehicles
567083,2020-01-01 00:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,107,46,215
871555,2020-01-01 01:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,136,43,222
395455,2020-01-01 02:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,125,56,204
547846,2020-01-01 03:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,131,58,133
293437,2020-01-01 04:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,121,56,90
1328459,2020-01-01 05:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,132,61,102
1144338,2020-01-01 06:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,132,59,123
439817,2020-01-01 07:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,122,61,145
1059388,2020-01-01 08:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,122,57,132
667201,2020-01-01 09:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,117,54,136
761151,2020-01-01 10:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,122,52,179
274760,2020-01-01 11:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,114,48,154
1132758,2020-01-01 12:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,120,50,210
1300306,2020-01-01 13:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,122,53,279
445062,2020-01-01 14:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,104,42,239
175617,2020-01-01 15:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,100,31,294
1318888,2020-01-01 16:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,102,29,229
1196246,2020-01-01 17:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,100,35,232
1214350,2020-01-01 18:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,102,43,234
298501,2020-01-01 19:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,103,36,222
426535,2020-01-01 20:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,115,46,241
822923,2020-01-01 21:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,104,53,253
585159,2020-01-01 22:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,126,50,233
1024730,2020-01-01 23:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,119,55,210
773532,2020-01-02 00:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,143,52,178
726878,2020-01-02 01:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,137,59,91
1163894,2020-01-02 02:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,133,56,63
1042207,2020-01-02 03:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,120,52,54
208663,2020-01-02 04:00:00,28.9984130859375,41.0641479492188,sxk9eg,8,124,63,57
693438,2020-01-02 05:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,110,56,155
1261100,2020-01-02 06:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,118,57,518
3722,2020-01-02 07:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,101,41,599
461226,2020-01-02 08:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,104,28,516
1147889,2020-01-02 09:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,105,37,396
404457,2020-01-02 10:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,97,37,418
86274,2020-01-02 11:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,103,39,404
1306161,2020-01-02 12:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,101,33,429
1184283,2020-01-02 13:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,107,35,398
339067,2020-01-02 14:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,105,26,396
788884,2020-01-02 15:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,96,27,433
587271,2020-01-02 16:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,94,24,335
802210,2020-01-02 17:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,74,17,306
222834,2020-01-02 18:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,93,17,397
1028910,2020-01-02 19:00:00,28.9984130859375,41.0641479492188,sxk9eg,6,92,20,275
